WellName ~ WellType ~ ObsPoint ~ Species ~ ObsTime ~ ObsValue ~ Confidence ~ InterpValue
6259-P_14 ~ Flow ~ 1 ~ Head ~ 1 ~ 11.44265924 ~ 1 ~ 0
6287-P_15 ~ Flow ~ 1 ~ Head ~ 1 ~ -54.95677189 ~ 1 ~ 0
6334-P_15 ~ Flow ~ 1 ~ Head ~ 1 ~ 32.63263927 ~ 1 ~ 0
6349-P_15 ~ Flow ~ 1 ~ Head ~ 1 ~ 11.30126836 ~ 1 ~ 0
6353-P_15 ~ Flow ~ 1 ~ Head ~ 1 ~ 8.936904795 ~ 1 ~ 0
6385-P_15 ~ Flow ~ 1 ~ Head ~ 1 ~ -75.50400132 ~ 1 ~ 0
HRIII_10401 ~ Flow ~ 1 ~ Head ~ 1 ~ -11.83892233 ~ 1 ~ 0
HRIII_4644 ~ Flow ~ 1 ~ Head ~ 1 ~ -51.20406228 ~ 1 ~ 0
HRIII_4898 ~ Flow ~ 1 ~ Head ~ 1 ~ -49.01284205 ~ 1 ~ 0
HRIII_5227 ~ Flow ~ 1 ~ Head ~ 1 ~ 1.88328361 ~ 1 ~ 0
HRIII_5304 ~ Flow ~ 1 ~ Head ~ 1 ~ 1.88328361 ~ 1 ~ 0
HRIII_7623 ~ Flow ~ 1 ~ Head ~ 1 ~ 14.7630392 ~ 1 ~ 0
HRIII_7636 ~ Flow ~ 1 ~ Head ~ 1 ~ 13.4030392 ~ 1 ~ 0
HRIII_7690 ~ Flow ~ 1 ~ Head ~ 1 ~ 10.4630392 ~ 1 ~ 0
HRIII_7780 ~ Flow ~ 1 ~ Head ~ 1 ~ -4.034952596 ~ 1 ~ 0
HRIII_7862 ~ Flow ~ 1 ~ Head ~ 1 ~ -22.67130989 ~ 1 ~ 0
HRIII_8057 ~ Flow ~ 1 ~ Head ~ 1 ~ 10.59742109 ~ 1 ~ 0
HRIII_8087 ~ Flow ~ 1 ~ Head ~ 1 ~ -7.167337826 ~ 1 ~ 0
HRIII_8117 ~ Flow ~ 1 ~ Head ~ 1 ~ 4.759275668 ~ 1 ~ 0
HRIII_8227 ~ Flow ~ 1 ~ Head ~ 1 ~ 20.97474282 ~ 1 ~ 0
HRIII_8228 ~ Flow ~ 1 ~ Head ~ 1 ~ 26.66659416 ~ 1 ~ 0
HRIII_8749 ~ Flow ~ 1 ~ Head ~ 1 ~ 20.91926183 ~ 1 ~ 0
HRIII_8839 ~ Flow ~ 1 ~ Head ~ 1 ~ -45.05431417 ~ 1 ~ 0
HRIII_9215 ~ Flow ~ 1 ~ Head ~ 1 ~ -68.47117055 ~ 1 ~ 0
