WellName ~ WellType ~ X ~ Y ~ Active ~ Radius ~ ZMin ~ ZMax
5991-P_14 ~ Flow ~ 10784.70364 ~ 23428.44942 ~ true ~ 0 ~ -1415.80005 ~ 12.18236612
5994-P_14 ~ Flow ~ 13682.47995 ~ 24554.65975 ~ true ~ 0 ~ -2484.1001 ~ 1.5819
6026-P_14 ~ Flow ~ 6438.27319 ~ 10579.49584 ~ true ~ 0 ~ -611.280029 ~ 11.4379997
6050-P_14 ~ Flow ~ 6325.581548 ~ 24850.56599 ~ true ~ 0 ~ -611.280029 ~ 18.04446417
6053-P_14 ~ Flow ~ 9844.219397 ~ 18648.8462 ~ true ~ 0 ~ -1219.69995 ~ 12.691
6082-P_14 ~ Flow ~ 9100.590849 ~ 29352.99862 ~ true ~ 0 ~ -1129 ~ 10.0710001
6086-P_14 ~ Flow ~ 9799.0336 ~ 29823.48756 ~ true ~ 0 ~ -1219.69995 ~ 12.691
6143-P_14 ~ Flow ~ 11840.49712 ~ 23947.26207 ~ true ~ 0 ~ -1766.09998 ~ 7.16540003
6206-P_14 ~ Flow ~ 12709.18252 ~ 23722.61435 ~ true ~ 0 ~ -2162.3999 ~ 1.81529999
6217-P_14 ~ Flow ~ 12711.09101 ~ 23682.20087 ~ true ~ 0 ~ -2162.3999 ~ 1.81529999
6259-P_14 ~ Flow ~ 7146.470601 ~ 14727.08658 ~ true ~ 0 ~ -688.830017 ~ 8.70189953
6287-P_15 ~ Flow ~ 14339.81757 ~ 28701.62164 ~ true ~ 0 ~ -2594.3999 ~ 0.102920003
6334-P_15 ~ Flow ~ 9167.11256 ~ 2637.105668 ~ true ~ 0 ~ -1129 ~ 10.0710001
6349-P_15 ~ Flow ~ 6935.130614 ~ 10199.65949 ~ true ~ 0 ~ -631.969971 ~ 13.27018218
6353-P_15 ~ Flow ~ 13372.13292 ~ 26075.99456 ~ true ~ 0 ~ -2352.30005 ~ 0.81299001
6385-P_15 ~ Flow ~ 9130.789393 ~ 26292.49169 ~ true ~ 0 ~ -1129 ~ 10.0710001
HRIII_10401 ~ Flow ~ 11611.77049 ~ 23915.22289 ~ true ~ 0 ~ -1718.19995 ~ 7.57490015
HRIII_4644 ~ Flow ~ 12322.20612 ~ 32412.20413 ~ true ~ 0 ~ -1979.19995 ~ 5.96570015
HRIII_4898 ~ Flow ~ 12365.24843 ~ 31496.59922 ~ true ~ 0 ~ -1979.19995 ~ 5.96570015
HRIII_5227 ~ Flow ~ 13540.87638 ~ 24189.58485 ~ true ~ 0 ~ -2465.1001 ~ 2.35080004
HRIII_5304 ~ Flow ~ 13511.07727 ~ 24181.0401 ~ true ~ 0 ~ -2465.1001 ~ 2.35080004
