WellName~ WellType~ X~ Y~ Active~ Radius~ ZMin~ ZMax~ CasingRadius~ MNW~ Distributing
006-P_98~ Pumping ~ 1.414757e+04~  2.724726e+04~ true~  0.000000e+00~ -7.548600e+02~  2.820800e-01~  0.000000e+00~ 0~ 0~
013-P_98~ Pumping ~ 1.352004e+04~  2.399164e+04~ true~  0.000000e+00~ -1.535900e+03~  6.668300e+00~  0.000000e+00~ 0~ 0~
014-P_98~ Pumping ~ 1.432695e+04~  2.827242e+04~ true~  0.000000e+00~ -6.107500e+02~  2.481900e+00~  0.000000e+00~ 0~ 0~
015-P_98~ Pumping ~ 1.306917e+04~  2.614250e+04~ true~  0.000000e+00~ -8.024100e+02~  9.791900e+00~  0.000000e+00~ 0~ 0~
016-P_98~ Pumping ~ 1.328392e+04~  2.616321e+04~ true~  0.000000e+00~ -8.332600e+02~  8.520500e+00~  0.000000e+00~ 0~ 0~
017-P_98~ Pumping ~ 1.383139e+04~  2.549108e+04~ true~  0.000000e+00~ -1.078300e+03~  2.043100e+00~  0.000000e+00~ 0~ 0~
018-P_98~ Pumping ~ 1.410254e+04~  2.707414e+04~ true~  0.000000e+00~ -7.881500e+02~  4.107000e-01~  0.000000e+00~ 0~ 0~
022-P_05~ Pumping ~ 1.083736e+04~  2.102769e+04~ true~  0.000000e+00~ -9.908700e+02~  1.423500e+01~  0.000000e+00~ 0~ 0~
023-P_98~ Pumping ~ 1.382441e+04~  2.597432e+04~ true~  0.000000e+00~ -9.478800e+02~  5.132900e+00~  0.000000e+00~ 0~ 0~
031-P_98~ Pumping ~ 8.174980e+03~  2.824450e+04~ true~  0.000000e+00~ -3.604200e+01~  1.543500e+01~  0.000000e+00~ 0~ 0~
032-P_98~ Pumping ~ 8.053395e+03~  2.849709e+04~ true~  0.000000e+00~ -3.553800e+01~  1.530000e+01~  0.000000e+00~ 0~ 0~
039-P_98~ Pumping ~ 1.409276e+04~  2.735832e+04~ true~  0.000000e+00~ -7.256500e+02~  4.319300e+00~  0.000000e+00~ 0~ 0~
041-P_98~ Pumping ~ 1.335634e+04~  2.469953e+04~ true~  0.000000e+00~ -1.235100e+03~  1.251700e+01~  0.000000e+00~ 0~ 0~
043-P_98~ Pumping ~ 8.174119e+03~  2.824745e+04~ true~  0.000000e+00~ -3.604200e+01~  1.543500e+01~  0.000000e+00~ 0~ 0~
0446-P_98~ Pumping ~ 1.119269e+04~  2.413523e+04~ true~  0.000000e+00~ -6.631800e+02~  1.710500e+01~  0.000000e+00~ 0~ 0~
047-P_98~ Pumping ~ 1.387255e+04~  2.629189e+04~ true~  0.000000e+00~ -9.046900e+02~  4.416200e+00~  0.000000e+00~ 0~ 0~
049-P_98~ Pumping ~ 1.151105e+04~  2.829000e+04~ true~  0.000000e+00~ -1.413800e+02~  7.731800e+00~  0.000000e+00~ 0~ 0~
051-P_98~ Pumping ~ 1.300269e+04~  2.588944e+04~ true~  0.000000e+00~ -8.430900e+02~  1.004200e+01~  0.000000e+00~ 0~ 0~
053-P_98~ Pumping ~ 1.299575e+04~  2.649846e+04~ true~  0.000000e+00~ -7.217300e+02~  9.745400e+00~  0.000000e+00~ 0~ 0~
1000-P_99~ Pumping ~ 1.060933e+04~  3.170774e+04~ true~  0.000000e+00~ -1.123000e+02~  6.331100e+00~  0.000000e+00~ 0~ 0~
1001-P_99~ Pumping ~ 1.337816e+04~  2.713848e+04~ true~  0.000000e+00~ -6.618200e+02~  1.219500e+01~  0.000000e+00~ 0~ 0~
1002-P_99~ Pumping ~ 1.442398e+04~  2.939958e+04~ true~  0.000000e+00~ -3.506600e+02~  3.345800e+00~  0.000000e+00~ 0~ 0~
1003-P_99~ Pumping ~ 1.384487e+04~  2.717865e+04~ true~  0.000000e+00~ -7.356000e+02~  1.111000e+01~  0.000000e+00~ 0~ 0~
1004-P_99~ Pumping ~ 1.392272e+04~  2.630965e+04~ true~  0.000000e+00~ -8.961800e+02~  1.869700e+00~  0.000000e+00~ 0~ 0~
1007-P_99~ Pumping ~ 1.352448e+04~  2.663706e+04~ true~  0.000000e+00~ -7.968600e+02~  8.790500e+00~  0.000000e+00~ 0~ 0~
1008-P_99~ Pumping ~ 1.383936e+04~  2.710317e+04~ true~  0.000000e+00~ -7.356000e+02~  1.111000e+01~  0.000000e+00~ 0~ 0~
1013-P_99~ Pumping ~ 1.366602e+04~  1.861233e+04~ true~  0.000000e+00~ -2.585100e+03~  1.114800e+00~  0.000000e+00~ 0~ 0~
1014-P_99~ Pumping ~ 1.410281e+04~  1.756796e+04~ true~  0.000000e+00~ -2.750400e+03~  1.149700e+00~  0.000000e+00~ 0~ 0~
101-P_98~ Pumping ~ 1.312842e+04~  2.699219e+04~ true~  0.000000e+00~ -6.608700e+02~  1.048300e+01~  0.000000e+00~ 0~ 0~
1024-P_99~ Pumping ~ 1.336232e+04~  2.735057e+04~ true~  0.000000e+00~ -6.161400e+02~  1.217300e+01~  0.000000e+00~ 0~ 0~
102-P_98~ Pumping ~ 1.323740e+04~  2.621689e+04~ true~  0.000000e+00~ -8.163300e+02~  9.654200e+00~  0.000000e+00~ 0~ 0~
1032-P_99~ Pumping ~ 1.064166e+04~  2.361908e+04~ true~  0.000000e+00~ -6.173400e+02~  1.490000e+01~  0.000000e+00~ 0~ 0~
1034-P_99~ Pumping ~ 1.334416e+04~  2.463196e+04~ true~  0.000000e+00~ -1.235100e+03~  1.251700e+01~  0.000000e+00~ 0~ 0~
1035-P_99~ Pumping ~ 1.286567e+04~  2.638078e+04~ true~  0.000000e+00~ -7.285600e+02~  1.143600e+01~  0.000000e+00~ 0~ 0~
1036-P_99~ Pumping ~ 1.272842e+04~  2.422820e+04~ true~  0.000000e+00~ -1.135100e+03~  1.313800e+01~  0.000000e+00~ 0~ 0~
